Date,Est. earnings (USD),Observed eCPM (USD),Requests,Match rate (%) (%),Matched requests,Show rate (%) (%),Impressions,CTR (%) (%),Clicks,Bid requests,Bids in auction (%),Bids in auction,Winning bids (%),Winning bids
2023-06-26,$10.71,37.19,2817,89.17%,2512,11.46%,288,5.21%,15,2817,89.17%,2512,100.00%,2512
2023-06-27,$10.58,40.53,2723,97.21%,2647,9.86%,261,1.15%,3,2723,97.21%,2647,100.00%,2647
2023-06-28,$14.78,52.59,2767,91.80%,2540,11.06%,281,1.78%,5,2767,91.80%,2540,100.00%,2540
2023-06-29,$12.87,39.6,2972,81.29%,2416,13.45%,325,2.77%,9,2972,81.29%,2416,100.00%,2416
2023-06-30,$12.40,56.34,2485,83.78%,2082,10.57%,220,2.27%,5,2485,83.78%,2082,100.00%,2082
2023-07-01,$13.25,39.09,3391,74.23%,2517,13.47%,339,4.42%,15,3391,74.23%,2517,100.00%,2517
2023-07-02,$12.00,33.7,4446,54.66%,2430,14.65%,356,4.49%,16,4446,54.66%,2430,100.00%,2430
2023-07-03,$13.16,40.75,7552,37.84%,2858,11.30%,323,4.02%,13,7552,37.86%,2859,99.97%,2858
2023-07-04,$16.57,51.48,8914,28.63%,2552,12.62%,322,4.35%,14,8914,28.63%,2552,100.00%,2552
2023-07-05,$13.18,56.83,6565,35.54%,2333,9.94%,232,7.33%,17,6565,35.54%,2333,100.00%,2333
2023-07-06,$10.38,33.48,4431,65.04%,2882,10.76%,310,2.26%,7,4431,65.04%,2882,100.00%,2882
2023-07-07,$7.01,25.22,4257,46.04%,1960,14.18%,278,5.76%,16,4257,46.04%,1960,100.00%,1960
2023-07-08,$12.25,55.42,4632,43.87%,2032,10.88%,221,5.88%,13,4632,43.87%,2032,100.00%,2032
2023-07-09,$13.22,64.5,6121,38.00%,2326,8.81%,205,3.41%,7,6121,38.00%,2326,100.00%,2326
2023-07-10,$8.72,47.14,4778,38.30%,1830,10.11%,185,5.95%,11,4778,38.30%,1830,100.00%,1830
2023-07-11,$11.51,48.97,12674,30.11%,3816,6.16%,235,5.96%,14,12674,30.11%,3816,100.00%,3816
2023-07-12,$11.78,61.02,9887,19.73%,1951,9.89%,193,3.11%,6,9887,19.73%,1951,100.00%,1951
2023-07-13,$6.91,37.78,6105,29.01%,1771,10.33%,183,8.20%,15,6105,29.01%,1771,100.00%,1771
2023-07-14,$5.60,44.42,4620,33.35%,1541,8.18%,126,5.56%,7,4620,33.35%,1541,100.00%,1541
2023-07-15,$4.79,30.92,6558,24.09%,1580,9.81%,155,3.87%,6,6558,24.09%,1580,100.00%,1580
2023-07-16,$8.20,45.79,3958,45.07%,1784,10.03%,179,2.79%,5,3958,45.07%,1784,100.00%,1784
2023-07-17,$4.63,35.32,4493,34.83%,1565,8.37%,131,2.29%,3,4493,34.83%,1565,100.00%,1565
2023-07-18,$3.33,21.89,4613,31.82%,1468,10.35%,152,1.97%,3,4613,31.82%,1468,100.00%,1468
2023-07-19,$3.47,30.98,2663,52.35%,1394,8.03%,112,8.04%,9,2663,52.35%,1394,100.00%,1394
2023-07-20,$6.40,36.98,6380,34.45%,2198,7.87%,173,1.16%,2,6380,34.45%,2198,100.00%,2198
2023-07-21,$5.90,34.91,4118,38.37%,1580,10.70%,169,8.88%,15,4118,38.37%,1580,100.00%,1580
2023-07-22,$7.46,39.03,4845,41.88%,2029,9.41%,191,7.85%,15,4845,41.88%,2029,100.00%,2029
2023-07-23,$1.67,34.86,637,79.59%,507,9.47%,48,2.08%,1,637,79.59%,507,100.00%,507
